Gene,Inheritance
AP3B1,"AR (Hermansky-Pudlak syndrome 2); AR (Spastic paraplegia 47, autosomal recessive); AD (Neutropenia, cyclic); AD (Neutropenia, severe congenital 1, autosomal dominant); AR (Epilepsy, progressive myoclonic 4, with or without renal failure); AD (Deafness, autosomal dominant 87); AR (Hermansky-Pudlak syndrome 4)",
AP3B2,"AR (Developmental and epileptic encephalopathy 48); AR (Spastic paraplegia 47, autosomal recessive)",
AP3D1,"AR (?Hermansky-Pudlak syndrome 10); AR (Hermansky-Pudlak syndrome 2); AR (Spastic paraplegia 51, autosomal recessive); AD (Stuttering, familial persistent, 1); AR (Spinocerebellar ataxia, autosomal recessive 29)",
AP3M1,"AR (Ceroid lipofuscinosis, neuronal, 3); AR (?Hermansky-Pudlak syndrome 10)",
AP3S1,AR (?Hermansky-Pudlak syndrome 10),
AP3S2,AR (?Hermansky-Pudlak syndrome 10),
AP4B1,"AR (Spastic paraplegia 47, autosomal recessive); AR (Spastic paraplegia 51, autosomal recessive); AD (Stuttering, familial persistent, 1); AR (Spastic paraplegia 50, autosomal recessive); AR (Spastic paraplegia 52, autosomal recessive)",
AP4E1,"AR (Spastic paraplegia 51, autosomal recessive); AD (Stuttering, familial persistent, 1); AR (Spastic paraplegia 52, autosomal recessive); AR (Spastic paraplegia 47, autosomal recessive); AR (Immunodeficiency 86, mycobacteriosis); AR (Spastic paraplegia 50, autosomal recessive)",
AP4M1,"AR (Spastic paraplegia 50, autosomal recessive); AR (Spastic paraplegia 51, autosomal recessive); AD (Stuttering, familial persistent, 1); AR (Spastic paraplegia 47, autosomal recessive); AR (Spastic paraplegia 52, autosomal recessive)",
AP4S1,"AR (Spastic paraplegia 52, autosomal recessive); AR (Spastic paraplegia 51, autosomal recessive); AD (Stuttering, familial persistent, 1); AR (Spastic paraplegia 47, autosomal recessive); AR (Spastic paraplegia 50, autosomal recessive)",
AP5M1,"AR (Spastic paraplegia 48, autosomal recessive)",
AP5S1,"AR (Spastic paraplegia 48, autosomal recessive); AR (Spastic paraplegia 15, autosomal recessive); AR (Amyotrophic lateral sclerosis 5, juvenile); AR (Charcot-Marie-Tooth disease, axonal, type 2X); AR (Spastic paraplegia 11, autosomal recessive)",
AP5Z1,"AR (Spastic paraplegia 48, autosomal recessive)",
APAF1,"AD (CINCA syndrome); AD (Deafness, autosomal dominant 34, with or without inflammation); AD (Familial cold inflammatory syndrome 1); AD (Keratoendothelitis fugax hereditaria); AD (Muckle-Wells syndrome); AR (Oocyte/zygote/embryo maturation arrest 18); AD (Familial cold autoinflammatory syndrome 2); AR (Hydatidiform mole, recurrent, 1)",
APBA1,"FG syndrome 4; Intellectual developmental disorder and microcephaly with pontine and cerebellar hypoplasia; Intellectual developmental disorder, with or without nystagmus; AR (Friedreich ataxia); AR (Friedreich ataxia with retained reflexes)",
APBA2,"AD (Alzheimer disease 1, familial); AD (Cerebral amyloid angiopathy, Dutch, Italian, Iowa, Flemish, Arctic variants); {Schizophrenia, susceptibility to, 17}; AR (Pitt-Hopkins-like syndrome 2); {Autism susceptibility 1}",
APBB1,"AD (Alzheimer disease 1, familial); AD (Cerebral amyloid angiopathy, Dutch, Italian, Iowa, Flemish, Arctic variants); AR (?Keratosis pilaris atrophicans); AD (Developmental dysplasia of the hip 3); AD (Neurodevelopmental disorder with neonatal respiratory insufficiency, hypotonia, and feeding difficulties)",
APC,"Adenoma, periampullary, somatic; AD (Adenomatous polyposis coli); AD (Brain tumor-polyposis syndrome 2); Colorectal cancer, somatic; AD (Desmoid disease, hereditary); AD (Gardner syndrome); AD (Gastric adenocarcinoma and proximal polyposis of the stomach); Gastric cancer, somatic; Hepatoblastoma, somatic; AR (Cortical dysplasia, complex, with other brain malformations 10); AR (Intellectual developmental disorder, autosomal recessive 74); AR ({Budd-Chiari syndrome}); AD ({Pregnancy loss, recurrent, susceptibility to, 1}); {Stroke, ischemic, susceptibility to}; AD ({Thrombophilia, susceptibility to, due to factor V Leiden}); AR (Factor V deficiency); AD (Thrombophilia 2 due to activated protein C resistance); AD (Hypotrichosis 1)",
APC2,"AR (Cortical dysplasia, complex, with other brain malformations 10); AR (Intellectual developmental disorder, autosomal recessive 74); AR (Nephronophthisis 2, infantile); AD (Developmental and epileptic encephalopathy 109); Adenoma, periampullary, somatic; AD (Adenomatous polyposis coli); AD (Brain tumor-polyposis syndrome 2); Colorectal cancer, somatic; AD (Desmoid disease, hereditary); AD (Gardner syndrome); AD (Gastric adenocarcinoma and proximal polyposis of the stomach); Gastric cancer, somatic; Hepatoblastoma, somatic",
APCDD1,AD (Hypotrichosis 1),
APCS,"AR (Pulmonary venoocclusive disease 2); {Celiac disease, susceptibility to, 3}; {Diabetes mellitus, insulin-dependent, 12}; AD ({Hashimoto thyroiditis}); AD ({Systemic lupus erythematosus, susceptibility to}); AD (Immune dysregulation with autoimmunity, immunodeficiency, and lymphoproliferation); AD ([Dystransthyretinemic hyperthyroxinemia]); AD (Amyloidosis, hereditary, transthyretin-related); AD (Carpal tunnel syndrome, familial); AR (?Immunodeficiency 16); {Multiple sclerosis, susceptibility to, 5}; AD (Periodic fever, familial)",
APEX1,"AR (Ataxia, early-onset, with oculomotor apraxia and hypoalbuminemia); AR (Baller-Gerold syndrome); AR (RAPADILINO syndrome); AR (Rothmund-Thomson syndrome, type 2); AR (?De Sanctis-Cacchione syndrome); AD ({Lung cancer, susceptibility to}); {Macular degeneration, age-related, susceptibility to, 5}; AR (Cerebrooculofacioskeletal syndrome 1); AR (Cockayne syndrome, type B); AD (Premature ovarian failure 11); AR (UV-sensitive syndrome 1)",
APH1A,"AD (?Acne inversa, familial, 3); AD (?Cardiomyopathy, dilated, 1U); AD (Alzheimer disease, type 3, with or without spastic paraparesis); AD (Dementia, frontotemporal); AD (Pick disease); AD (Acne inversa, familial, 1); AD (Alzheimer disease 1, familial); AD (Cerebral amyloid angiopathy, Dutch, Italian, Iowa, Flemish, Arctic variants); AD (Alzheimer disease-4); AD (Cardiomyopathy, dilated, 1V); AD (Acne inversa, familial, 2, with or without Dowling-Degos disease)",
APH1B,"AD (?Acne inversa, familial, 3); AD (?Cardiomyopathy, dilated, 1U); AD (Alzheimer disease, type 3, with or without spastic paraparesis); AD (Dementia, frontotemporal); AD (Pick disease); AD (Alzheimer disease-4); AD (Cardiomyopathy, dilated, 1V); AD (Acne inversa, familial, 1)",
APLP1,"AD (Alzheimer disease 1, familial); AD (Cerebral amyloid angiopathy, Dutch, Italian, Iowa, Flemish, Arctic variants); AD (?Spinocerebellar ataxia 43); AR (Charcot-Marie-Tooth disease, axonal, type 2T); {Pulmonary disease, chronic obstructive, susceptibility to}; AR (Heme oxygenase-1 deficiency); AR (Nephrotic syndrome, type 1); AD (Intellectual developmental disorder, autosomal dominant 21)",
APLP2,"AD (Alzheimer disease 1, familial); AD (Cerebral amyloid angiopathy, Dutch, Italian, Iowa, Flemish, Arctic variants); AR ({Pseudoxanthoma elasticum, modifier of severity of}); AR (Desbuquois dysplasia 2); AR (?Keratosis pilaris atrophicans); AD (Developmental dysplasia of the hip 3); AD (?Spinocerebellar ataxia 43); AR (Charcot-Marie-Tooth disease, axonal, type 2T)",
APOA1,"Amyloidosis, hereditary systemic 3; AR (Hypoalphalipoproteinemia, primary, 2); AD (Hypoalphalipoproteinemia, primary, 2, intermediate); Apolipoprotein C-III deficiency; AR (Encephalopathy, progressive, early-onset, with brain edema and/or leukoencephalopathy); AD (HDL deficiency, familial, 1); AR (Tangier disease); AD (Tubulointerstitial kidney disease, autosomal dominant 6); AR ([Proteinuria, chronic benign]); AR (Imerslund-Grasbeck syndrome 1)",
APOA2,"AR ({Hypercholesterolemia, familial, modifier of}); Apolipoprotein A-II deficiency; Amyloidosis, hereditary systemic 3; AR (Hypoalphalipoproteinemia, primary, 2); AD (Hypoalphalipoproteinemia, primary, 2, intermediate); AR (Hypercholesterolemia, familial, 1); AR (LDL cholesterol level QTL2); AD ({Atherosclerosis, susceptibility to}); AD ({Lupus nephritis, susceptibility to}); {Malaria, severe, susceptibility to}; AR ({Pseudomonas aeruginosa, susceptibility to chronic infection by, in cystic fibrosis}); AD (Charcot-Marie-Tooth disease, dominant intermediate D); AD (Charcot-Marie-Tooth disease, type 1B); AD (Charcot-Marie-Tooth disease, type 2I); AD (Charcot-Marie-Tooth disease, type 2J); AR (Dejerine-Sottas disease); AD (Hypomyelinating neuropathy, congenital, 2); AD (Roussy-Levy syndrome)",
APOA4,"AD (Tubulointerstitial kidney disease, autosomal dominant 6); Amyloidosis, hereditary systemic 3; AR (Hypoalphalipoproteinemia, primary, 2); AD (Hypoalphalipoproteinemia, primary, 2, intermediate); AD ({Hypertriglyceridemia, susceptibility to}); AD (Hyperchylomicronemia, late-onset); Apolipoprotein C-III deficiency; AD (Familial apolipoprotein gene cluster deletion syndrome); AR ({Hypercholesterolemia, familial, modifier of}); Apolipoprotein A-II deficiency; AD ({Atherosclerosis, susceptibility to})",
APOA5,"AD ({Hypertriglyceridemia, susceptibility to}); AD (Hyperchylomicronemia, late-onset); AR (Hypercholesterolemia, familial, 1); AR (LDL cholesterol level QTL2); Apolipoprotein C-III deficiency; AD ({?Alzheimer disease, protection against, due to APOE3-Christchurch}); AD ({?Macular degeneration, age-related}); {Coronary artery disease, severe, susceptibility to}; AD (Alzheimer disease 2); Hyperlipoproteinemia, type III; Lipoprotein glomerulopathy; AR (Sea-blue histiocyte disease); AR (Hyperlipoproteinemia, type 1D)",
APOB,"AD (Hypercholesterolemia, familial, 2); AR (Hypobetalipoproteinemia); AD ([LPA deficiency, congenital]); AD ({Coronary artery disease, susceptibility to})",
APOBEC1,"AD (Polycystic kidney disease 6 with or without polycystic liver disease); AD (Leukemia, juvenile myelomonocytic); AD (Neurofibromatosis-Noonan syndrome); AD (Neurofibromatosis, familial spinal); AD (Neurofibromatosis, type 1); AD (Watson syndrome)",
APOBEC2,"AR (Immunodeficiency with hyper-IgM, type 2)",
APOBEC3A,AD (Cleidocranial dysplasia 2),
APOBEC3B,"AD ({Systemic lupus erythematosus, susceptibility to}); AR (Aicardi-Goutieres syndrome 1, dominant and recessive); AD (Chilblain lupus); AD (Vasculopathy, retinal, with cerebral leukoencephalopathy and systemic manifestations)",
APOBEC3G,"AD (Cleidocranial dysplasia 2); {HIV1 infection, resistance to}; AR ({Immunodeficiency 83, susceptibility to viral infections})",
APOC1,"AD ({?Alzheimer disease, protection against, due to APOE3-Christchurch}); AD ({?Macular degeneration, age-related}); {Coronary artery disease, severe, susceptibility to}; AD (Alzheimer disease 2); Hyperlipoproteinemia, type III; Lipoprotein glomerulopathy; AR (Sea-blue histiocyte disease); AD ([High density lipoprotein cholesterol level QTL 10]); AD (Hyperalphalipoproteinemia); AD ({Hemolytic uremic syndrome, atypical, susceptibility to, 5}); {Macular degeneration, age-related, 9}; AR (C3 deficiency); AR (Prolidase deficiency); AR (Hyperlipoproteinemia, type Ib)",
APOC2,"AR (Hyperlipoproteinemia, type Ib); AD ({?Alzheimer disease, protection against, due to APOE3-Christchurch}); AD ({?Macular degeneration, age-related}); {Coronary artery disease, severe, susceptibility to}; AD (Alzheimer disease 2); Hyperlipoproteinemia, type III; Lipoprotein glomerulopathy; AR (Sea-blue histiocyte disease); AD (Orofacial cleft 3); AD ({Hemolytic uremic syndrome, atypical, susceptibility to, 5}); {Macular degeneration, age-related, 9}; AR (C3 deficiency); AR (Prolidase deficiency); AR (Hyperlipoproteinemia, type 1D); [Kallikrein, decreased urinary activity of]",
APOC3,"Apolipoprotein C-III deficiency; Amyloidosis, hereditary systemic 3; AR (Hypoalphalipoproteinemia, primary, 2); AD (Hypoalphalipoproteinemia, primary, 2, intermediate); AD ({Hypertriglyceridemia, susceptibility to}); AD (Hyperchylomicronemia, late-onset); AR (Congenital disorder of glycosylation, type IIt); AD (Tubulointerstitial kidney disease, autosomal dominant 6); Rhabdomyosarcoma, alveolar",
APOD,"AD (Developmental and epileptic encephalopathy 47); AD (ADULT syndrome); AD (Ectrodactyly, ectodermal dysplasia, and cleft lip/palate syndrome 3); AD (Hay-Wells syndrome); AD (Limb-mammary syndrome); Orofacial cleft 8; AD (Premature ovarian failure 21); AD (Rapp-Hodgkin syndrome); AD (Split-hand/foot malformation 4)",
APOE,"AD ({?Alzheimer disease, protection against, due to APOE3-Christchurch}); AD ({?Macular degeneration, age-related}); {Coronary artery disease, severe, susceptibility to}; AD (Alzheimer disease 2); Hyperlipoproteinemia, type III; Lipoprotein glomerulopathy; AR (Sea-blue histiocyte disease); AD (Alzheimer disease 1, familial); AD (Cerebral amyloid angiopathy, Dutch, Italian, Iowa, Flemish, Arctic variants)",
APOH,"AD (?Antiphospholipid syndrome, familial)",
APOL1,"AD ({Glomerulosclerosis, focal segmental, 4, susceptibility to}); AD ({Schizophrenia}); AD ({Schizophrenia})",
APOL2,"AD ({Schizophrenia}); AD ({Schizophrenia}); AD ({Glomerulosclerosis, focal segmental, 4, susceptibility to})",
APOL3,"AD ({Schizophrenia}); AD ({Schizophrenia}); AD ({Glomerulosclerosis, focal segmental, 4, susceptibility to}); {Prostate cancer, susceptibility to}",
APOL4,"AD ({Schizophrenia}); AD ({Schizophrenia}); AD ({Glomerulosclerosis, focal segmental, 4, susceptibility to})",
APOL5,"AD ({Schizophrenia}); AD ({Schizophrenia}); AD ({Glomerulosclerosis, focal segmental, 4, susceptibility to})",
APOL6,"AD ({Schizophrenia}); AD ({Schizophrenia}); AD ({Glomerulosclerosis, focal segmental, 4, susceptibility to})",
APOLD1,"AD (?Bleeding disorder, vascular-type); AD (Multiple endocrine neoplasia, type IV)",
APOM,"AR ({Neural tube defects, folate-sensitive, susceptibility to}); AR (Homocystinuria-megaloblastic anemia, cbl E type)",
APOO,AR (Combined oxidative phosphorylation deficiency 37),
APOOL,AR (Combined oxidative phosphorylation deficiency 37),
APP,"AD (Alzheimer disease 1, familial); AD (Cerebral amyloid angiopathy, Dutch, Italian, Iowa, Flemish, Arctic variants); AD (Keratolytic winter erythema); AD (?Acne inversa, familial, 3); AD (?Cardiomyopathy, dilated, 1U); AD (Alzheimer disease, type 3, with or without spastic paraparesis); AD (Dementia, frontotemporal); AD (Pick disease); {Alzheimer disease 18, susceptibility to}; AD (Reticulate acropigmentation of Kitamura)",
APPBP2,"Breast cancer, somatic; AD (Jansen-de Vries syndrome)",
APPL1,"AD ({Maturity-onset diabetes of the young, type 14}); Dent disease 2; Lowe syndrome",
APPL2,"AD ({Maturity-onset diabetes of the young, type 14})",
APRT,"AR (Adenine phosphoribosyltransferase deficiency); [Anhaptoglobinemia]; [Hypohaptoglobinemia]; Hyperuricemia, HRPT-related; Lesch-Nyhan syndrome; AD (?Myopathy, scapulohumeroperoneal); AD (Congenital myopathy 2A, typical, autosomal dominant); AR (Congenital myopathy 2B, severe infantile, autosomal recessive); AD (Congenital myopathy 2C, severe infantile, autosomal dominant); AR (Developmental and epileptic encephalopathy 82); AD (Erythrocytosis, familial, 7); AD (Heinz body anemias, alpha-); Hemoglobin H disease, nondeletional; AD (Methemoglobinemia, alpha type); Thalassemias, alpha-; AD (Intellectual developmental disorder, autosomal dominant 3)",
APTX,"AR (Ataxia, early-onset, with oculomotor apraxia and hypoalbuminemia); AD (Spinocerebellar ataxia 14); AR (?Spinocerebellar ataxia, autosomal recessive 26)",
AQP1,"[Aquaporin-1 deficiency]; [Blood group, Colton]; AR (?Megalencephalic leukoencephalopathy with subcortical cysts 4, remitting); AD (Palmoplantar keratoderma, Bothnian type); [Blood group GIL]; AR (Diabetes insipidus, nephrogenic, 2); AD ([Hereditary persistence of fetal hemoglobin]); AR (Anemia, congenital dyserythropoietic, type IVb); AD (Anemia, dyserythropoietic congenital, type IVa); AD (Blood group--Lutheran inhibitor)",
AQP2,"AR (Diabetes insipidus, nephrogenic, 2); AD (Cataract 15, multiple types); [Aquaporin-1 deficiency]; [Blood group, Colton]; AR (?Deafness, autosomal recessive 123); [Blood group GIL]; AR (?Megalencephalic leukoencephalopathy with subcortical cysts 4, remitting)",
AQP3,"[Blood group GIL]; [Aquaporin-1 deficiency]; [Blood group, Colton]; AR (?Megalencephalic leukoencephalopathy with subcortical cysts 4, remitting); AR ([Glycerol quantitative trait locus]); AR (Diabetes insipidus, nephrogenic, 2)",
AQP4,"AR (?Megalencephalic leukoencephalopathy with subcortical cysts 4, remitting); [Aquaporin-1 deficiency]; [Blood group, Colton]; [Blood group GIL]; [Blood pressure regulation QTL]; AR (Megalencephalic leukoencephalopathy with subcortical cysts 2A); AD (Megalencephalic leukoencephalopathy with subcortical cysts 2B, remitting, with or without impaired intellectual development); AD (Long QT syndrome 12); AR (Lipodystrophy, congenital generalized, type 3); AD (Lipodystrophy, familial partial, type 7); AD (Pulmonary hypertension, primary, 3)",
AQP5,"AD (Palmoplantar keratoderma, Bothnian type); AD (Hyperhidrosis palmaris et plantaris); [Aquaporin-1 deficiency]; [Blood group, Colton]; AD (?Avascular necrosis of femoral head, primary, 2); [Sodium serum level QTL 1]; AD (Brachyolmia type 3); AD (Digital arthropathy-brachydactyly, familial); AD (Hereditary motor and sensory neuropathy, type IIc); AD (Metatropic dysplasia); AD (Neuronopathy, distal hereditary motor, autosomal dominant 8); AD (Parastremmatic dwarfism); AD (Scapuloperoneal spinal muscular atrophy); AD (SED, Maroteaux type); AD (Spondylometaphyseal dysplasia, Kozlowski type); AD (Cataract 15, multiple types); [Blood group GIL]; AR (?Megalencephalic leukoencephalopathy with subcortical cysts 4, remitting)",
AQP6,"AD (Cataract 15, multiple types); [Aquaporin-1 deficiency]; [Blood group, Colton]; AR ([Glycerol quantitative trait locus])",
